类目名称,名称,链接,简介
图片设计,稿定设计,https://www.gaoding.com/,图文笔记设计、排版、批量作图，提供 20w + 商用模板、百万正版素材
图片设计,醒图,https://www.retouchpics.com/,做封面、人像 P 图必备，功能强大，支持多端快速出片
图片设计,美图秀秀,https://www.meituxiuxiu.com/zh-Hans,做封面、人像 P 图备选，功能类似醒图，支持电脑版和网页版
图片设计,可画,https://canva.com/,国际知名设计工具，提供海量模板和素材
图片设计,豆包 AI 画图,https://www.doubao.com/chat/,AI 一键生成图片，支持风格定制，出图质量高、稳定性强
文案创作,Reditor 编辑器,https://reditorapp.com/?ref=openi.cn,专注小红书文案编辑的工具
文案创作,多种草 AI,duozhongcao.com,提供小红书文案生成、敏感词检测、选题灵感、图文生成等多功能
文案创作,Claude,https://claude.ai/,写作辅助大模型，支持自由调配提示词，适合生成报告、文案等。需要魔法登录。
文案创作,Monica,https://monica.cn/,集合各类大模型的智能体平台，支持文案生成、翻译、语法检查等多场景应用
文案创作,飞书文档,https://docs.feishu.cn/,在线文档编辑工具，支持多人协作和内容保存
批量下载,江湖工具箱,https://jianghudata.com/,客户端工具，稳定免费，支持批量下载视频和图文笔记
批量下载,智小红,https://www.zhixiaohong.com/workbench/downloader.html,浏览器插件，轻量级，支持无水印下载小红书视频和图文
批量下载,篡改猴,https://www.tampermonkey.net/,浏览器脚本管理器，配合脚本可实现多种批量下载功能
批量下载,后裔采集器,https://www.houyicaiji.com/,专业数据采集工具，支持复杂场景下的内容抓取
批量下载,Fatkun,https://www.fatkun.net/zh-CN,免费浏览器插件，支持批量下载网站图片
视频文案提取,江湖工具箱,https://jianghudata.com/,免费版可用，收费版准确率更高，调用阿里通悟 API 提取视频文案
视频文案提取,飞书妙记,https://www.feishu.cn/product/minutes,会议记录工具，支持音视频转文字，准确率高，适合提取会议和视频中的文案内容
视频文案提取,阿里通义听悟,https://tingwu.aliyun.com/,阿里云智能语音转写工具，支持实时转录和多语言翻译，准确率高
视频文案提取,轻抖,https://www.qingdou.vip,免费工具，需看广告，支持直播话术提取、音视频文字提取等多功能
AI 配音,海螺 AI,https://www.minimaxi.com/audio/voice-isolator,AI 语音合成工具，支持情感化配音，降噪效果优于同类产品
AI 配音,Nozi AI,https://noiz.ai/landing,声音克隆工具，只需 3-10 秒录音即可生成专属 AI 声音模型
视频创作,剪映,https://www.capcut.cn/,短视频剪辑必备工具，上手简单，支持多端协同和 AI 创作功能
视频创作,即梦 AI 视频生财,https://jimeng.jianying.com/,一站式 AI 视频生成工具，适合批量制作营销视频
视频创作,即创 AI,https://aic.oceanengine.com/login,字节跳动旗下 AI 工具，支持营销视频批量生成，适配多平台投放场景
违禁词检测,零克查词,http://ci.lingke.pro/,专注小红书违禁词检测，提供通用词库、敏感词库和品牌种草解决方案
违禁词检测,句无忧,https://www.check51.com/,多平台违禁词检测工具，支持文字、图片、视频检测，覆盖电商、社交等多行业词库
违禁词检测,句易网,http://www.ju1.cn/,老牌违禁词检测工具，操作简单，适合快速筛查文案风险
违禁词检测,小红书高危词官方说明,https://pgy.xiaohongshu.com/help/list?id=174&userType=4,小红书官方发布的高危词说明文档，可查询平台最新违禁词规则
字体素材,识字体网,https://www.likefont.com/,字体识别和下载平台，支持上传图片识别字体，提供海量商用字体资源
字体素材,字由,https://www.hellofont.cn,设计师字体管理工具，支持一键应用和多端同步，涵盖多种风格字体
字体素材,求字体,https://www.qiuziti.com/,字体搜索和下载平台，支持模糊查询和字体相似度匹配
图片素材,Pixabay,https://pixabay.com/,免费高清图片素材库，支持 CC0 协议，可商用，涵盖多种分类
图片素材,Unsplash,https://unsplash.com/,高质量摄影图片库，全球摄影师分享作品，适合创意类内容配图
图片素材,Pexels,https://www.pexels.com/,免费图片和视频素材库，界面简洁，支持关键词快速搜索
图片素材,Visual Hunt,https://visualhunt.com/,专注视觉素材的资源站，提供图片、矢量图、插画等多类型内容
图片素材,Foodiesfeed,https://www.foodiesfeed.com/,美食主题图片库，适合餐饮、生活类小红书内容配图
图片素材,StockSnap,https://stocksnap.io/,免费无版权图片库，支持 CC0 协议，更新频率高，素材风格多样
图片素材,LibreStock,https://librestock.com/,聚合型素材平台，整合多个免费图库资源，一站式搜索下载
图片素材,PAKUTASO,https://www.pakutaso.com/,日本免费素材站，提供日系风格图片、插画和设计模板，适合个性化内容创作
数据分析,灰豚数据,https://wxaurl.cn/coH1vCUDO3r,小红书数据分析工具，提供达人、笔记、品牌投放等多维度数据监测和榜单
数据分析,新红,https://xh.newrank.cn/,新榜旗下小红书数据平台，支持红人搜索、笔记分析、直播监测和竞品投放策略洞察
数据分析,5118,https://www.5118.com/ci/xhs,关键词挖掘工具，支持小红书下拉词、长尾词分析，辅助 SEO 和内容选题
数据分析,千瓜,https://app.qian-gua.com/#/workbench/red,专业社媒数据分析平台，提供小红书账号诊断、爆款笔记追踪和行业趋势报告
数据分析,蝉小红,https://xhs.chanmama.com/,蝉妈妈旗下小红书数据工具，支持直播分析、商品热度监测和达人商业价值评估
Emoji 表情,emoji 百宝箱,https://emoji6.com/,海量 Emoji 表情库，支持分类浏览和快速复制，适合丰富小红书文案表现力
Emoji 表情,getemoji,https://getemoji.com/,跨平台 Emoji 工具，支持 iOS、Android、PC 等多端使用，覆盖全品类表情符号
小红书开店,店透视,https://www.diantoushi.com/,电商数据透视工具，支持多平台商品数据查询、评论分析和竞品监控
小红书开店,招财猫,https://jingyan.baidu.com/article/1974b289ddb303b4b0f77472.html,百度经验开店指南，提供小红书开店流程和运营技巧分享
小红书开店,小红书商家入驻,https://gaia.xiaohongshu.com/home/index,小红书官方开店入口，支持个人 / 个体工商户 / 企业入驻，0 元开店，部分类目需保证金
小红书开店,小红书课堂,https://school.xiaohongshu.com/course/list?jumpFrom=school,官方培训平台，提供大促备战、流量转化、直播运营等课程，含直播回放和资料下载
私域引流,草料,https://cli.im/,二维码生成工具，支持微信群二维码转链接，可美化设计和动态更新内容
私域引流,Photofunia,https://photofunia.com/,图片处理工具，支持在图片中添加微信号等私域信息，降低平台违规风险
